YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2024,0,2615,27274,CarGurus
2023,1,4179,23950,Cargurus
2013,11,103493,12791,Cargurus
2015,9,138499,12288,Cargurus 
2008,16,135074,8500,Cargurus 
2012,12,64542,12999,Autotrader
2007,17,128000,7500,Autotrader
2017,7,64116,18499,Autotrader
2020,4,85277,20988,Autotrader
2021,3,10419,29961,Autotrader
2011,13,221650,8995,Craigslist
2014,10,131200,12700,Craigslist
2018,6,13532,26688,Craigslist
2016,8,54503,21981,Craigslist
2010,14,96000,10982,Craigslist
